Date, Open, High, Low, Close, TotalVolume, UnAdjustedClose
1999-11-09,94.00784088,94.13510781,92.50184884,92.78819944,   45337,136.70312500
1999-11-10,92.48063768,93.93360183,92.36397633,93.47756199,   64056,137.71875000
1999-11-11,93.79572932,94.00784088,93.30787275,94.00784088,   47941,138.50000000
1999-11-12,94.51690861,95.01537076,93.07455004,94.85628709,  118029,139.75000000
1999-11-15,94.91992056,95.19566558,94.62296438,95.07900422,   21875,140.07812500
1999-11-16,95.40777713,97.06224726,95.08960980,95.87442255,   75448,141.25000000
1999-11-17,96.55317953,97.01982495,95.91684486,96.12895642,   94590,141.62500000
1999-11-18,96.68044646,97.06224726,96.12895642,96.80771339,   44910,142.62500000
1999-11-19,96.65923530,97.04103610,96.38349028,96.72286877,   48321,142.50000000
1999-11-22,96.68044646,97.06224726,96.04411180,96.70165762,   41554,142.46875000
1999-11-23,96.95619148,96.95619148,95.28051020,95.85321140,   59180,141.21875000
1999-11-24,95.53504407,96.68044646,95.02597634,96.36227913,   44597,141.96875000
1999-11-26,96.70165762,96.97740264,95.87442255,96.00168949,   16939,141.43750000
1999-11-29,95.61988869,96.33046240,95.32293251,95.66231100,   73486,140.93750000
